location_name,category,risk_level,status,longitude,latitude,source_url,note
Dwarka Circle / Dwarka Chowk,Traffic choke point,very high,confirmed 2027 project,73.79564,19.98695,https://www.freepressjournal.in/pune/centre-approves-214-crore-fornashiks-dwarka-chowk-upgrade,"Vital artery connecting Mumbai-Agra NH, Nashik Road, Panchavati, city centre and industrial routes; specifically upgraded for Kumbh readiness."
Nashik Road-Dwarka corridor,Traffic choke point,very high,confirmed 2027 project,73.8014105,19.9871372,https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576,Key commuter and pilgrim corridor where minor breakdowns can create long tailbacks.
Kathe Galli,Traffic choke point,high,confirmed 2027 project,73.8078,19.9739,https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576,Named pinch point on Nashik Road-Dwarka stretch.
Fame Signal,Traffic choke point,high,confirmed 2027 project,73.821,19.9645,https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576,Named signal choke point on Nashik Road-Dwarka stretch.
Upnagar,Traffic choke point,high,confirmed 2027 project,73.8167,19.9717777,https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576,Named congestion area on Nashik Road-Dwarka stretch.
Upnagar Junction,Traffic choke point,high,confirmed 2027 project,73.8354,19.9549,https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576,Named congestion junction on Nashik Road-Dwarka stretch.
Datta Mandir Signal,Traffic choke point,high,confirmed 2027 project,73.8395,19.9515,https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576,Named signal choke point on Nashik Road-Dwarka stretch.
Dr. Ambedkar Nagar,Traffic choke point,medium,confirmed 2027 project,73.846,19.9529,https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576,Named congestion area on Nashik Road-Dwarka stretch.
Mumbai Naka,Traffic choke point,high,analyst derived from route behavior,73.7839866,19.9870794,https://infra.economictimes.indiatimes.com/news/urban-transportation/residents-cheer-10-lane-plan-of-nashik-road-dwarka-section/128244576,Likely spillover point when traffic bypasses Dwarka via Kathe Galli-Mumbai Naka.
Panchavati / Ramkund access zone,No-vehicle pressure zone,very high,confirmed Kumbh pressure zone,73.79062,20.0067,https://www.travelandtourworld.com/news/article/complete-guide-to-nashik-kumbh-mela-2027-verified-travel-routes-accommodation-and-safety-tips/,Main sacred bathing pressure area; private vehicles expected to be shifted to outer parking on peak days.
